,target,Condition,ContextCode,PlausibilityJudgement,Cloze,Sentence,context,semantic_association,implementation,model
162,pans,Rel,106,1.55,0.0,Jason was disappointed when the other scouts scared off the elk by loudly beating the pans,Jason was disappointed when the other scouts scared off the elk by loudly beating the,0.7049307,SE,intfloat/multilingual-e5-large
163,destroyed,Rel,107,1.3,0.03125,"After the flood, the house smelled of mildew and everything in it was destroyed","After the flood, the house smelled of mildew and everything in it was",0.79579586,SE,intfloat/multilingual-e5-large
164,crash,Rel,109,1.18,0.0,Everyone on the scene gathered around to look at the crash,Everyone on the scene gathered around to look at the,0.7633263,SE,intfloat/multilingual-e5-large
165,even,Rel,115,2.22,0.0,The final score of the game was even,The final score of the game was,0.774514,SE,intfloat/multilingual-e5-large
166,beat,Rel,117,1.08,0.0,"After swimming the English Channel, Bonita was cold and completely beat","After swimming the English Channel, Bonita was cold and completely",0.7582706,SE,intfloat/multilingual-e5-large
167,composure,Rel,120,1.13,0.0,"She had the data to back up everything she said, so the hostile questions did not shake her composure","She had the data to back up everything she said, so the hostile questions did not shake her",0.78664017,SE,intfloat/multilingual-e5-large
168,material,Rel,125,1.44,0.1071428571428571,"The new dress was very pretty, but it was cut from an unusual material","The new dress was very pretty, but it was cut from an unusual",0.74416816,SE,intfloat/multilingual-e5-large
169,flee,Rel,128,1.3,0.0,"When the little girl saw the big dog lumbering towards her, she began to flee","When the little girl saw the big dog lumbering towards her, she began to",0.7384848,SE,intfloat/multilingual-e5-large
170,stands,Rel,132,1.39,0.0344827586206896,"From her house a half mile away, Diana could still hear the loud cheers coming from the stands","From her house a half mile away, Diana could still hear the loud cheers coming from the",0.7590825,SE,intfloat/multilingual-e5-large
171,tsunami,Rel,133,1.3,0.0666666666666666,Five ships did not survive the tsunami,Five ships did not survive the,0.79255056,SE,intfloat/multilingual-e5-large
172,wreck,Rel,135,1.09,0.0357142857142857,The paramedics on the scene helped the passengers after the big car wreck,The paramedics on the scene helped the passengers after the big car,0.78538996,SE,intfloat/multilingual-e5-large
173,collision,Rel,136,1.22,0.0,The pilot spoke to an air traffic controller just before the collision,The pilot spoke to an air traffic controller just before the,0.7771985,SE,intfloat/multilingual-e5-large
174,dinner,Rel,140,1.71,0.0,The boy scouts started a long hike through the forest after having a big dinner,The boy scouts started a long hike through the forest after having a big,0.7428525,SE,intfloat/multilingual-e5-large
175,streets,Rel,143,1.18,0.0,"When traveling, Roger prefers to stick to major streets","When traveling, Roger prefers to stick to major",0.7737772,SE,intfloat/multilingual-e5-large
176,pin,Rel,147,1.24,0.0357142857142857,"While hemming a pair of pants, Bridget accidentally dropped her pin","While hemming a pair of pants, Bridget accidentally dropped her",0.7492548,SE,intfloat/multilingual-e5-large
177,cub,Rel,148,1.48,0.0,The rangers say that somewhere in the state park is a cub,The rangers say that somewhere in the state park is a,0.762306,SE,intfloat/multilingual-e5-large
178,tension,Rel,153,1.41,0.0,The doctor told him his headaches were due to tension,The doctor told him his headaches were due to,0.7695508,SE,intfloat/multilingual-e5-large
179,arms,Rel,156,1.39,0.0,"The groups in the parade walked by slowly, each waving their arms","The groups in the parade walked by slowly, each waving their",0.73824626,SE,intfloat/multilingual-e5-large
180,remedy,Rel,158,1.78,0.0625,"The little girl was very sick, but unfortunately there was no remedy","The little girl was very sick, but unfortunately there was no",0.7540794,SE,intfloat/multilingual-e5-large
181,sight,Rel,161,1.5,0.0,"The meteor shower should have been spectacular, but the city lights blocked the sight","The meteor shower should have been spectacular, but the city lights blocked the",0.7717613,SE,intfloat/multilingual-e5-large
182,conclude,Rel,162,1.3,0.0,She was unsure how the book would conclude,She was unsure how the book would,0.7592268,SE,intfloat/multilingual-e5-large
183,solicitation,Rel,166,1.88,0.0,"He was desperate for a job, so finally took something doing door to door solicitation","He was desperate for a job, so finally took something doing door to door",0.79923767,SE,intfloat/multilingual-e5-large
184,words,Rel,168,1.59,0.0,The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical words,The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical,0.75510526,SE,intfloat/multilingual-e5-large
185,older,Rel,169,1.72,0.0,"Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were older","Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were",0.79222465,SE,intfloat/multilingual-e5-large
186,service,Rel,172,1.03,0.03125,"In the window, they posted the hours they were open for service","In the window, they posted the hours they were open for",0.7810445,SE,intfloat/multilingual-e5-large
187,infectious,Rel,173,1.24,0.0,They sent the kids with measles home from school because they were infectious,They sent the kids with measles home from school because they were,0.79674613,SE,intfloat/multilingual-e5-large
188,river,Rel,174,1.32,0.0,"Outside, Cora could hear the running river","Outside, Cora could hear the running",0.75025517,SE,intfloat/multilingual-e5-large
189,stroll,Rel,177,1.3,0.1071428571428571,At night they often took a short stroll,At night they often took a short,0.77985364,SE,intfloat/multilingual-e5-large
190,printed,Rel,182,1.4,0.0,The wealthy author always points out that she wrote four novels before one was printed,The wealthy author always points out that she wrote four novels before one was,0.7663045,SE,intfloat/multilingual-e5-large
191,rat,Rel,185,1.85,0.0,The kitten waited patiently because behind the refrigerator was a rat,The kitten waited patiently because behind the refrigerator was a,0.7736839,SE,intfloat/multilingual-e5-large
192,chilly,Rel,187,1.21,0.0344827586206896,Norton hates getting up on winter mornings because it is always chilly,Norton hates getting up on winter mornings because it is always,0.7942663,SE,intfloat/multilingual-e5-large
193,dirt,Rel,190,1.11,0.0,The fertilizer enriched the dirt,The fertilizer enriched the,0.77998066,SE,intfloat/multilingual-e5-large
194,letter,Rel,193,1.03,0.0,The young girl passed her friend a letter,The young girl passed her friend a,0.7672071,SE,intfloat/multilingual-e5-large
195,correct,Rel,196,2.29,0.0,He tinkered with the engine every weekend until it was absolutely correct,He tinkered with the engine every weekend until it was absolutely,0.76852,SE,intfloat/multilingual-e5-large
196,land,Rel,197,1.11,0.09375,"When Diane heard the shark warning, she swam as fast as she could for land","When Diane heard the shark warning, she swam as fast as she could for",0.71681225,SE,intfloat/multilingual-e5-large
197,cathedral,Rel,198,1.12,0.1034482758620689,Michael could hear the bells ringing in the tower of the cathedral,Michael could hear the bells ringing in the tower of the,0.76563925,SE,intfloat/multilingual-e5-large
198,filthy,Rel,200,1.29,0.03125,"When he got home from work on the construction site, his clothes were always filthy","When he got home from work on the construction site, his clothes were always",0.77506983,SE,intfloat/multilingual-e5-large
199,lamp,Rel,201,2.86,0.0,Kevin propped his head up with a pillow as he basked in the hot lamp,Kevin propped his head up with a pillow as he basked in the hot,0.73771703,SE,intfloat/multilingual-e5-large
200,cost,Rel,203,1.65,0.0,He bought it without even asking the cost,He bought it without even asking the,0.7841792,SE,intfloat/multilingual-e5-large
201,prepared,Rel,204,1.15,0.0,"Barry has considered proposing to his girlfriend, but he wants to wait until he is prepared","Barry has considered proposing to his girlfriend, but he wants to wait until he is",0.7735354,SE,intfloat/multilingual-e5-large
202,truck,Rel,205,1.0,0.0,John was disappointed to discover a scratch on his new truck,John was disappointed to discover a scratch on his new,0.74635273,SE,intfloat/multilingual-e5-large
203,mind,Rel,206,1.03,0.0,He was afraid that doing drugs would damage his mind,He was afraid that doing drugs would damage his,0.79825693,SE,intfloat/multilingual-e5-large
204,engaged,Rel,207,1.89,0.0,"They've been living together for a long time, but don't think they're actually engaged","They've been living together for a long time, but don't think they're actually",0.7867481,SE,intfloat/multilingual-e5-large
205,mischief,Rel,208,1.54,0.0625,Dennis the Menance was known for making mischief,Dennis the Menance was known for making,0.78543806,SE,intfloat/multilingual-e5-large
206,shelter,Rel,211,1.67,0.0,When the shooting started they ran for shelter,When the shooting started they ran for,0.7585013,SE,intfloat/multilingual-e5-large
207,genuine,Rel,212,1.76,0.0,The federal agents examined the hundred dollar bill with a microscope to see if it was genuine,The federal agents examined the hundred dollar bill with a microscope to see if it was,0.76671827,SE,intfloat/multilingual-e5-large
208,cook,Rel,213,1.26,0.1034482758620689,Eva turned down the heat and left the sauce on the stove to cook,Eva turned down the heat and left the sauce on the stove to,0.74927413,SE,intfloat/multilingual-e5-large
209,reflection,Rel,215,1.78,0.0,"Alone in the canyon, he was so spooked he was scared by his own reflection","Alone in the canyon, he was so spooked he was scared by his own",0.7720927,SE,intfloat/multilingual-e5-large
210,fib,Rel,220,1.61,0.0,Betsy could never tell a fib,Betsy could never tell a,0.7592458,SE,intfloat/multilingual-e5-large
211,bedroom,Rel,221,1.26,0.0,The bad boy was sent to his bedroom,The bad boy was sent to his,0.76732767,SE,intfloat/multilingual-e5-large
212,wounds,Rel,223,1.74,0.0689655172413793,"The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his wounds","The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his",0.7761899,SE,intfloat/multilingual-e5-large
